entryCode,accountingYear,dataYear,applicabilityLevel,regionCode,regionName,value,sourceCode,sourceName,publisher,documentReference,publishedOn,evidenceReference
ELECTRICITY_AVERAGE_2023_NATIONAL,2023,2021,NATIONAL,,全国,0.5568,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_GRID_NORTH,2023,2021,GRID_REGION,GRID_NORTH,华北,0.7120,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_GRID_NORTHEAST,2023,2021,GRID_REGION,GRID_NORTHEAST,东北,0.6012,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_GRID_EAST,2023,2021,GRID_REGION,GRID_EAST,华东,0.5992,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_GRID_CENTRAL,2023,2021,GRID_REGION,GRID_CENTRAL,华中,0.5354,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_GRID_NORTHWEST,2023,2021,GRID_REGION,GRID_NORTHWEST,西北,0.5951,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_GRID_SOUTH,2023,2021,GRID_REGION,GRID_SOUTH,南方,0.4326,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_GRID_SOUTHWEST,2023,2021,GRID_REGION,GRID_SOUTHWEST,西南,0.2113,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_110000,2023,2021,PROVINCE,110000,北京,0.5688,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
ELECTRICITY_AVERAGE_2023_PROVINCE_120000,2023,2021,PROVINCE,120000,天津,0.7355,MEE_NBS_ELECTRICITY_AVERAGE_2021,2021年电力二氧化碳排放因子（全国区域和省级电力平均）,生态环境部、国家统计局,公告2024年第12号,2024-04-12,https://www.mee.gov.cn/xxgk2018/xxgk/xxgk01/202404/W020240412827267102800.pdf
